riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2562845-?	2E-15	(NGWAMA)	NR	-	"0.009268092 unit increase"	[0.007-0.0116]	TTN-AS1,TTN	"Heart failure (multivariate analysis)"	"heart failure"	-	GCST90239776	2:178649706	36376295	"Levin MG"
rs1906592-?	2E-15	(MTAG)	NR	-	"0.02974127 unit decrease"	[0.022-0.037]	LINC01438	"Heart failure (multivariate analysis)"	"heart failure"	-	GCST90239776	4:110787848	36376295	"Levin MG"
rs72840788-?	6E-18	(NGWAMA)	NR	-	"0.010989546 unit increase"	[0.0085-0.0135]	BAG3	"Heart failure (multivariate analysis)"	"heart failure"	-	GCST90239776	10:119656173	36376295	"Levin MG"
rs4713999-?	3E-19	(MTAG)	NR	-	"0.024649298 unit decrease"	[0.019-0.03]	Y_RNA,RNU1-88P	"Heart failure (multivariate analysis)"	"heart failure"	-	GCST90239776	6:36665292	36376295	"Levin MG"
rs147288039-G	1E-8	-	0.01055	-	"0.40002 unit increase"	[0.26-0.54]	AOPEP	"Heart failure"	"heart failure"	-	GCST90399712	9:95006476	36777996	"Zhou W"
rs10774624-A	5E-9	-	0.5909	-	"0.043648 unit decrease"	[0.029-0.058]	LINC02356	"Heart failure"	"heart failure"	-	GCST90399714	12:111395984	36777996	"Zhou W"
chr10:119665450-T	3E-9	-	0.1953	-	"0.051487 unit decrease"	[0.035-0.068]	-	"Heart failure"	"heart failure"	-	GCST90399714	-	36777996	"Zhou W"
rs61208973-T	6E-10	-	0.2265	-	"0.045775 unit increase"	[0.031-0.06]	ZFHX3	"Heart failure"	"heart failure"	-	GCST90399714	16:72991194	36777996	"Zhou W"
rs7857118-T	3E-11	-	0.5259	-	"0.043202 unit increase"	[0.03-0.056]	CDKN2B-AS1	"Heart failure"	"heart failure"	-	GCST90399714	9:22124141	36777996	"Zhou W"
rs600038-T	2E-12	-	0.7799	-	"0.051976 unit decrease"	[0.037-0.067]	ABO,Y_RNA	"Heart failure"	"heart failure"	-	GCST90399714	9:133276354	36777996	"Zhou W"
rs10455872-G	3E-14	-	0.05857	-	"0.11551 unit increase"	[0.086-0.145]	LPA	"Heart failure"	"heart failure"	-	GCST90399714	6:160589086	36777996	"Zhou W"
rs62048402-A	2E-14	-	0.3597	-	"0.050284 unit increase"	[0.037-0.063]	FTO	"Heart failure"	"heart failure"	-	GCST90399714	16:53769311	36777996	"Zhou W"
chr6:36665292-G	1E-15	-	0.6728	-	"0.053251 unit increase"	[0.04-0.066]	-	"Heart failure"	"heart failure"	-	GCST90399714	-	36777996	"Zhou W"
rs59788391-G	2E-24	-	0.1886	-	"0.084207 unit increase"	[0.068-0.1]	PITX2,LINC01438	"Heart failure"	"heart failure"	-	GCST90399714	4:110780277	36777996	"Zhou W"
rs77630941-?	7E-10	-	NR	-	"28.37 unit increase"	-	CUX1	"Migraine with aura (age at onset)"	"migraine with aura,age at onset"	-	GCST90027234	7:102217020	34380431	"Tsai CK"
rs146778855-?	1E-8	-	NR	-	"20.63 unit increase"	-	CDH18	"Migraine with aura (age at onset)"	"migraine with aura,age at onset"	-	GCST90027234	5:20412078	34380431	"Tsai CK"
rs117608715-?	2E-8	-	NR	-	"22.74 unit increase"	-	NOL3	"Migraine with aura (age at onset)"	"migraine with aura,age at onset"	-	GCST90027234	16:67172270	34380431	"Tsai CK"
rs150592309-?	9E-8	-	NR	-	"21.72 unit increase"	-	ZNF511-PRAP1	"Migraine with aura (age at onset)"	"migraine with aura,age at onset"	-	GCST90027234	10:133346685	34380431	"Tsai CK"
rs3798293-?	1E-12	-	NR	-	-	-	FHL5	"Migraine with aura and/or diastolic blood pressure"	"migraine with aura,diastolic blood pressure"	-	GCST011061	6:96585494	32632093	"Guo Y"
rs2052692-?	1E-24	-	NR	-	-	-	IRAG1	"Migraine with aura and/or diastolic blood pressure"	"migraine with aura,diastolic blood pressure"	-	GCST011061	11:10646094	32632093	"Guo Y"
rs2983896-?	3E-26	-	NR	-	-	-	FHL5	"Migraine with aura and/or systolic blood pressure"	"migraine with aura,systolic blood pressure"	-	GCST011060	6:96581995	32632093	"Guo Y"
rs2052692-?	3E-12	-	NR	-	-	-	IRAG1	"Migraine with aura and/or systolic blood pressure"	"migraine with aura,systolic blood pressure"	-	GCST011060	11:10646094	32632093	"Guo Y"
rs2983896-?	8E-22	-	NR	-	-	-	FHL5	"Migraine with aura and/or pulse pressure"	"pulse pressure measurement,migraine with aura"	-	GCST011059	6:96581995	32632093	"Guo Y"
rs11172113-?	2E-10	-	NR	-	-	-	LRP1	"Migraine with aura and/or pulse pressure"	"pulse pressure measurement,migraine with aura"	-	GCST011059	12:57133500	32632093	"Guo Y"
rs147555597-A	5E-21	-	0.008848	-	"0.62 unit increase"	[0.49-0.75]	LPAL2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90043957	6:160490564	34737426	"Jiang L"
rs148978709-C	2E-7	-	0.049777	-	"0.713926 unit decrease"	-	TMEM74,TRHR	"Coronary vascular plaque"	"coronary atherosclerosis"	-	GCST90104133	8:109059829	35121771	"Choe EK"
rs10757279-G	1E-7	-	0.47084	-	"0.305909 unit decrease"	-	CDKN2B-AS1	"Coronary vascular plaque"	"coronary atherosclerosis"	-	GCST90104133	9:22124631	35121771	"Choe EK"
chr17:7101771-C	2E-11	-	0.8625	-	"0.04624 unit decrease"	[0.031-0.061]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr17:17653906-G	1E-12	-	0.27	-	"0.03679 unit increase"	[0.025-0.048]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr17:37697959-T	2E-11	-	0.2687	-	"0.03677 unit increase"	[0.026-0.048]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr17:44908263-C	2E-13	-	0.3658	-	"0.03462 unit increase"	[0.024-0.045]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr17:47112109-C	5E-21	-	0.6529	-	"0.04488 unit increase"	[0.034-0.056]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr17:62399548-T	6E-21	-	0.4735	-	"0.04451 unit decrease"	[0.034-0.055]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr18:20002944-A	4E-17	-	0.3936	-	"0.03923 unit decrease"	[0.029-0.049]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr18:46482070-A	2E-13	-	0.3373	-	"0.03938 unit decrease"	[0.028-0.051]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr19:17219105-G	1E-11	-	0.7231	-	"0.03302 unit decrease"	[0.022-0.044]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr20:33228301-G	7E-15	-	0.8301	-	"0.04865 unit decrease"	[0.035-0.062]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr20:62446351-G	3E-15	-	0.7718	-	"0.04417 unit increase"	[0.032-0.056]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr22:38879010-T	6E-12	-	0.656	-	"0.03249 unit increase"	[0.022-0.043]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
rs10455872-A	1E-234	-	0.9309	-	"0.2816 unit decrease"	[0.26-0.3]	LPA	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	6:160589086	39024449	"Verma A"
rs10808546-C	2E-34	-	0.5677	-	"0.05494 unit increase"	[0.045-0.065]	TRIB1AL	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	8:125483576	39024449	"Verma A"
rs10846744-G	2E-31	-	0.8482	-	"0.07119 unit decrease"	[0.057-0.085]	SCARB1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	12:124827879	39024449	"Verma A"
rs11172113-T	4E-16	-	0.5972	-	"0.03643 unit decrease"	[0.026-0.047]	LRP1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	12:57133500	39024449	"Verma A"
rs115478735-A	3E-18	-	0.8072	-	"0.0478 unit decrease"	[0.035-0.06]	ABO	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	9:133274295	39024449	"Verma A"
rs11556924-C	2E-39	-	0.6163	-	"0.05994 unit increase"	[0.05-0.07]	ZC3HC1,UBE2H-DT	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	7:130023656	39024449	"Verma A"
rs11591147-G	6E-29	-	0.9849	-	"0.2466 unit increase"	[0.2-0.29]	PCSK9	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	1:55039974	39024449	"Verma A"
rs11670056-C	5E-22	-	0.9166	-	"0.07531 unit decrease"	[0.058-0.093]	ELL	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	19:18479133	39024449	"Verma A"
chr10:82262826-C	4E-20	-	0.7196	-	"0.04747 unit increase"	[0.036-0.059]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr10:99861312-C	7E-16	-	0.6845	-	"0.04105 unit increase"	[0.03-0.052]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr10:104898126-C	6E-17	-	0.912	-	"0.06838 unit increase"	[0.051-0.086]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr10:105670849-A	1E-23	-	0.4603	-	"0.04413 unit decrease"	[0.034-0.054]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr10:124036494-T	2E-12	-	0.4742	-	"0.0306 unit decrease"	[0.02-0.041]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr11:9360367-A	6E-12	-	0.9256	-	"0.05991 unit decrease"	[0.04-0.079]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr11:10704589-G	8E-14	-	0.7705	-	"0.04248 unit increase"	[0.03-0.055]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr11:65580638-T	2E-12	-	0.7391	-	"0.03712 unit decrease"	[0.025-0.049]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr11:126235510-C	1E-12	-	0.7996	-	"0.04125 unit increase"	[0.028-0.054]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr12:20172932-A	2E-13	-	0.8764	-	"0.04902 unit increase"	[0.034-0.064]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr12:48732534-A	7E-13	-	0.3614	-	"0.03523 unit increase"	[0.025-0.046]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr12:54514000-A	5E-16	-	0.9384	-	"0.0867 unit decrease"	[0.064-0.11]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr12:90058842-G	2E-23	-	0.8323	-	"0.06056 unit decrease"	[0.047-0.074]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr12:95495041-C	8E-17	-	0.9247	-	"0.07162 unit increase"	[0.052-0.091]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr12:103494463-G	2E-11	-	0.5615	-	"0.02994 unit decrease"	[0.02-0.04]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr12:121426478-C	6E-19	-	0.6793	-	"0.04473 unit decrease"	[0.034-0.055]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr13:29021359-A	5E-14	-	0.3683	-	"0.03554 unit decrease"	[0.025-0.046]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr13:113625367-A	8E-13	-	0.7549	-	"0.03684 unit decrease"	[0.025-0.049]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr14:92423810-A	6E-12	-	0.6708	-	"0.03235 unit increase"	[0.022-0.043]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr14:103878148-G	9E-12	-	0.3765	-	"0.03144 unit increase"	[0.021-0.042]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr16:15918960-A	3E-12	-	0.6054	-	"0.03314 unit increase"	[0.023-0.044]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr16:53799977-T	3E-22	-	0.5723	-	"0.04346 unit decrease"	[0.033-0.053]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr16:72074340-A	3E-13	-	0.7596	-	"0.0381 unit decrease"	[0.026-0.05]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr16:86712985-T	1E-11	-	0.654	-	"0.03231 unit decrease"	[0.022-0.043]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr17:2053920-C	1E-18	-	0.3056	-	"0.04214 unit decrease"	[0.031-0.053]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
rs2019090-A	1E-30	-	0.3081	-	"0.05807 unit increase"	[0.047-0.069]	PDGFDDN	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	11:103798234	39024449	"Verma A"
rs2663966-C	2E-20	-	0.3433	-	"0.04335 unit increase"	[0.033-0.054]	TEX41	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	2:145089666	39024449	"Verma A"
rs28451064-G	2E-51	-	0.8779	-	"0.1069 unit decrease"	[0.091-0.123]	KCNE2,LINC00310,MRPS6	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	21:34221526	39024449	"Verma A"
rs28929474-C	5E-15	-	0.9816	-	"0.1361 unit increase"	[0.098-0.174]	SERPINA1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	14:94378610	39024449	"Verma A"
rs2943653-C	3E-13	-	0.342	-	"0.03559 unit decrease"	[0.025-0.046]	NYAP2,MIR5702	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	2:226183055	39024449	"Verma A"
rs3184504-T	2E-18	-	0.4909	-	"0.0366 unit increase"	[0.027-0.046]	ATXN2,SH2B3	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	12:111446804	39024449	"Verma A"
rs3827066-C	5E-16	-	0.8454	-	"0.04836 unit decrease"	[0.035-0.062]	ZNF335	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	20:45957384	39024449	"Verma A"
rs3918226-C	4E-16	-	0.921	-	"0.07376 unit decrease"	[0.054-0.094]	NOS3	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	7:150993088	39024449	"Verma A"
rs4299376-G	9E-16	-	0.3285	-	"0.03997 unit increase"	[0.029-0.051]	ABCG8	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	2:43845437	39024449	"Verma A"
rs4860951-A	2E-11	-	0.6352	-	"0.03683 unit decrease"	[0.024-0.049]	UGT2B29P	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	4:68510018	39024449	"Verma A"
rs4888372-G	6E-23	-	0.4311	-	"0.04584 unit decrease"	[0.035-0.057]	RNU6-758P,BCAR1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	16:75279587	39024449	"Verma A"
rs56375023-G	3E-29	-	0.7654	-	"0.0587 unit increase"	[0.047-0.071]	SMAD3	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	15:67156025	39024449	"Verma A"
rs606452-A	7E-20	-	0.1518	-	"0.06159 unit decrease"	[0.047-0.076]	SERPINH1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	11:75565133	39024449	"Verma A"
rs62012629-C	2E-28	-	0.7349	-	"0.05578 unit decrease"	[0.044-0.067]	ADAMTS7	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	15:78778009	39024449	"Verma A"
rs6227-C	4E-25	-	0.6965	-	"0.05529 unit decrease"	[0.044-0.067]	FURIN	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	15:90882002	39024449	"Verma A"
rs6807945-C	9E-19	-	0.1743	-	"0.05298 unit increase"	[0.039-0.067]	NME9,MRAS	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	3:138333912	39024449	"Verma A"
rs72689147-G	4E-16	-	0.814	-	"0.04791 unit increase"	[0.035-0.061]	GUCY1A1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	4:155718736	39024449	"Verma A"
rs73045269-C	2E-22	-	0.8456	-	"0.05942 unit decrease"	[0.046-0.073]	CCDC97,TGFB1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	19:41319286	39024449	"Verma A"
rs7412-C	3E-34	-	0.9197	-	"0.1013 unit increase"	[0.083-0.12]	APOE	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	19:44908822	39024449	"Verma A"
rs7500448-A	7E-25	-	0.7526	-	"0.05566 unit increase"	[0.044-0.068]	CDH13	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	16:83012185	39024449	"Verma A"
rs7766436-C	9E-20	-	0.7024	-	"0.04432 unit decrease"	[0.033-0.055]	CASC15	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	6:22598030	39024449	"Verma A"
rs77870048-C	2E-17	-	0.9536	-	"0.09481 unit increase"	[0.071-0.119]	WWP2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	16:69931118	39024449	"Verma A"
rs9337951-G	6E-16	-	0.6646	-	"0.04164 unit decrease"	[0.03-0.053]	JCAD	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	10:30028144	39024449	"Verma A"
rs9349379-A	2E-96	-	0.5978	-	"0.09356 unit decrease"	[0.084-0.104]	PHACTR1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	6:12903725	39024449	"Verma A"
rs9515203-T	3E-54	-	0.7387	-	"0.07932 unit increase"	[0.068-0.091]	COL4A2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	13:110397276	39024449	"Verma A"
chr9:22125347-A	3E-15	-	0.496	-	"0.1375 unit decrease"	[0.1-0.17]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475934	-	39024449	"Verma A"
rs7528419-A	2E-11	-	0.7925	-	"0.1436 unit increase"	[0.1-0.19]	CELSR2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475934	1:109274570	39024449	"Verma A"
chr6:160946747-T	1E-12	-	0.9859	-	"0.357 unit decrease"	[0.26-0.45]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475935	-	39024449	"Verma A"
chr8:19833192-T	1E-12	-	0.9061	-	"0.1501 unit increase"	[0.11-0.19]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475935	-	39024449	"Verma A"
rs9515203-T	3E-12	-	0.7266	-	"0.08979 unit increase"	[0.064-0.115]	COL4A2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475935	13:110397276	39024449	"Verma A"
rs116843064-G	8E-18	-	0.9783	-	"0.1684 unit increase"	[0.13-0.21]	ANGPTL4	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	19:8364439	39024449	"Verma A"
rs12138316-G	6E-44	-	0.2813	-	"0.06855 unit decrease"	[0.057-0.08]	AIDA	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	1:222673540	39024449	"Verma A"
rs12190287-C	2E-38	-	0.6304	-	"0.06207 unit increase"	[0.052-0.072]	TARID,TCF21	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	6:133893387	39024449	"Verma A"
rs12466972-T	2E-16	-	0.587	-	"0.03853 unit increase"	[0.028-0.049]	TNS1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	2:217819184	39024449	"Verma A"
rs12740374-G	3E-85	-	0.7815	-	"0.1058 unit increase"	[0.094-0.118]	CELSR2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	1:109274968	39024449	"Verma A"
rs12893887-G	6E-25	-	0.8382	-	"0.06618 unit increase"	[0.052-0.08]	HHIPL1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	14:99645228	39024449	"Verma A"
rs13389219-C	2E-14	-	0.6065	-	"0.03362 unit increase"	[0.024-0.044]	COBLL1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	2:164672366	39024449	"Verma A"
rs1412445-C	9E-38	-	0.67	-	"0.05958 unit decrease"	[0.049-0.07]	LIPA	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	10:89243047	39024449	"Verma A"
rs142130958-G	1E-44	-	0.8825	-	"0.09425 unit increase"	[0.079-0.11]	LDLR,SMARCA4	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	19:11079976	39024449	"Verma A"
rs148513392-G	8E-33	-	0.8821	-	"0.08245 unit decrease"	[0.067-0.098]	WDR12	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	2:202879887	39024449	"Verma A"
rs16986953-G	2E-19	-	0.9277	-	"0.07595 unit decrease"	[0.057-0.095]	CISD1P1,LINC01808	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	2:19742712	39024449	"Verma A"
rs1945392-G	3E-12	-	0.8754	-	"0.04892 unit decrease"	[0.034-0.064]	GLULP3,UBASH3B	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	11:122649820	39024449	"Verma A"
rs964184-G	5E-38	-	0.1402	-	"0.08199 unit increase"	[0.068-0.096]	ZPR1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	11:116778201	39024449	"Verma A"
rs9863-T	4E-12	-	0.6689	-	"0.03394 unit increase"	[0.023-0.045]	CCDC92	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	12:123936906	39024449	"Verma A"
rs998584-C	2E-19	-	0.5231	-	"0.04148 unit decrease"	[0.031-0.052]	VEGFA,LINC02537	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	6:43790159	39024449	"Verma A"
chr1:3326510-G	8E-13	-	0.8538	-	"0.0443 unit decrease"	[0.03-0.058]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:26812192-C	1E-11	-	0.7986	-	"0.03847 unit increase"	[0.026-0.051]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:38453041-G	2E-17	-	0.5668	-	"0.03807 unit decrease"	[0.028-0.048]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:56963627-A	8E-23	-	0.9092	-	"0.07685 unit increase"	[0.059-0.094]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:114449662-T	2E-14	-	0.8322	-	"0.04419 unit decrease"	[0.031-0.057]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:154426970-A	5E-20	-	0.6032	-	"0.03942 unit increase"	[0.029-0.05]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:169100169-G	6E-17	-	0.4274	-	"0.04007 unit increase"	[0.03-0.05]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:172330437-G	4E-11	-	0.6818	-	"0.0327 unit decrease"	[0.022-0.044]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:175133626-A	8E-12	-	0.4959	-	"0.03043 unit decrease"	[0.02-0.04]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:205114873-C	2E-11	-	0.5671	-	"0.02963 unit decrease"	[0.02-0.04]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr1:210500168-C	3E-12	-	0.8661	-	"0.04497 unit decrease"	[0.03-0.06]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
